HGNC_symbol;HGNC_id
AAAS;HGNC:13666
AARS1;HGNC:20
AASS;HGNC:17366
ABAT;HGNC:23
ABCB11;HGNC:42
ABCB6;HGNC:47
ABCB7;HGNC:48
ABCC6;HGNC:57
ABCC9;HGNC:60
ABCD1;HGNC:61
ABCD4;HGNC:68
ABHD5;HGNC:21396
ABL1;HGNC:76
ACAD9;HGNC:21497
ACADM;HGNC:89
ACADS;HGNC:90
ACADVL;HGNC:92
ACAN;HGNC:319
ACAT1;HGNC:93
ACBD6;HGNC:23339
ACO2;HGNC:118
ACOX1;HGNC:119
ACP5;HGNC:124
ACSL4;HGNC:3571
ACTA1;HGNC:129
ACTA2;HGNC:130
ACTB;HGNC:132
ACTG1;HGNC:144
ACTL6B;HGNC:160
ACVR1;HGNC:171
ACVR2B;HGNC:174
ACY1;HGNC:177
ADA;HGNC:186
ADAMTS18;HGNC:17110
ADAMTS9;HGNC:13202
ADAMTSL2;HGNC:14631
ADAR;HGNC:225
ADARB1;HGNC:226
ADCY5;HGNC:236
ADGRG1;HGNC:4512
ADGRG6;HGNC:13841
ADK;HGNC:257
ADNP;HGNC:15766
ADPRS;HGNC:21304
ADRA2B;HGNC:282
ADSL;HGNC:291
AFF2;HGNC:3776
AFF3;HGNC:6473
AFF4;HGNC:17869
AFG3L2;HGNC:315
AGA;HGNC:318
AGK;HGNC:21869
AGL;HGNC:321
AGO1;HGNC:3262
AGPS;HGNC:327
AGTPBP1;HGNC:17258
AGTR2;HGNC:338
AGXT;HGNC:341
AHDC1;HGNC:25230
AHI1;HGNC:21575
AIFM1;HGNC:8768
AIMP1;HGNC:10648
AIPL1;HGNC:359
AIRE;HGNC:360
AK2;HGNC:362
AKR1D1;HGNC:388
AKT1;HGNC:391
AKT3;HGNC:393
ALAD;HGNC:395
ALDH18A1;HGNC:9722
ALDH1A3;HGNC:409
ALDH3A2;HGNC:403
ALDH4A1;HGNC:406
ALDH5A1;HGNC:408
ALDH7A1;HGNC:877
ALDOA;HGNC:414
ALG1;HGNC:18294
ALG11;HGNC:32456
ALG12;HGNC:19358
ALG13;HGNC:30881
ALG2;HGNC:23159
ALG3;HGNC:23056
ALG6;HGNC:23157
ALG8;HGNC:23161
ALG9;HGNC:15672
ALMS1;HGNC:428
ALPL;HGNC:438
ALS2;HGNC:443
ALX1;HGNC:1494
ALX3;HGNC:449
ALX4;HGNC:450
AMER1;HGNC:26837
AMPD2;HGNC:469
AMT;HGNC:473
ANAPC1;HGNC:19988
ANK2;HGNC:493
ANKH;HGNC:15492
ANKRD11;HGNC:21316
ANKRD26;HGNC:29186
ANO5;HGNC:27337
ANTXR1;HGNC:21014
AP1B1;HGNC:554
AP1S2;HGNC:560
AP2M1;HGNC:564
AP2S1;HGNC:565
AP3B2;HGNC:567
AP4B1;HGNC:572
AP4E1;HGNC:573
AP4M1;HGNC:574
AP4S1;HGNC:575
APC2;HGNC:24036
APTX;HGNC:15984
AR;HGNC:644
ARCN1;HGNC:649
ARF1;HGNC:652
ARFGEF2;HGNC:15853
ARG1;HGNC:663
ARHGAP31;HGNC:29216
ARHGAP35;HGNC:4591
ARHGEF6;HGNC:685
ARHGEF9;HGNC:14561
ARID1A;HGNC:11110
ARID1B;HGNC:18040
ARID2;HGNC:18037
ARL14EP;HGNC:26798
ARL3;HGNC:694
ARL6;HGNC:13210
ODAD2;HGNC:25583
ARMC9;HGNC:20730
ARNT2;HGNC:16876
ARSA;HGNC:713
ARSB;HGNC:714
ARSL;HGNC:719
ARX;HGNC:18060
ASAH1;HGNC:735
ASCC1;HGNC:24268
ASCC3;HGNC:18697
ASCL1;HGNC:738
ASH1L;HGNC:19088
ASL;HGNC:746
ASNS;HGNC:753
ASPA;HGNC:756
ASPH;HGNC:757
ASPM;HGNC:19048
ASS1;HGNC:758
ASXL1;HGNC:18318
ASXL2;HGNC:23805
ASXL3;HGNC:29357
ATAD3A;HGNC:25567
ATIC;HGNC:794
ATM;HGNC:795
ATN1;HGNC:3033
ATOH7;HGNC:13907
ATP13A2;HGNC:30213
ATP1A1;HGNC:799
ATP1A2;HGNC:800
ATP1A3;HGNC:801
ATP5F1D;HGNC:837
ATP6AP2;HGNC:18305
ATP6V0A1;HGNC:865
ATP6V0C;HGNC:855
ATP6V1A;HGNC:851
ATP6V1B1;HGNC:853
ATP6V1B2;HGNC:854
ATP6V1E1;HGNC:857
ATP7A;HGNC:869
ATP8A2;HGNC:13533
ATP8B1;HGNC:3706
ATR;HGNC:882
ATRX;HGNC:886
AUH;HGNC:890
AUTS2;HGNC:14262
AXIN1;HGNC:903
B3GALNT2;HGNC:28596
B3GALT6;HGNC:17978
B3GAT3;HGNC:923
B4GALT1;HGNC:924
B4GALT7;HGNC:930
B9D1;HGNC:24123
BANF1;HGNC:17397
BBS1;HGNC:966
BBS10;HGNC:26291
BBS12;HGNC:26648
BBS2;HGNC:967
BBS4;HGNC:969
BBS5;HGNC:970
BBS7;HGNC:18758
BBS9;HGNC:30000
BCAP31;HGNC:16695
BCKDHA;HGNC:986
BCKDHB;HGNC:987
BCL11A;HGNC:13221
BCL11B;HGNC:13222
BCOR;HGNC:20893
BCORL1;HGNC:25657
BCS1L;HGNC:1020
BFSP2;HGNC:1041
BGN;HGNC:1044
BHLHA9;HGNC:35126
BICD2;HGNC:17208
BICRA;HGNC:4332
BIN1;HGNC:1052
BLM;HGNC:1058
BLOC1S6;HGNC:8549
BMP2;HGNC:1069
BMP4;HGNC:1071
BMPER;HGNC:24154
BMPR1B;HGNC:1077
BNC2;HGNC:30988
BOLA3;HGNC:24415
BPIFB6;HGNC:16504
BPNT2;HGNC:26019
BPTF;HGNC:3581
BRAF;HGNC:1097
BRAT1;HGNC:21701
BRCA1;HGNC:1100
BRCA2;HGNC:1101
BRD4;HGNC:13575
BRIP1;HGNC:20473
BRPF1;HGNC:14255
BRSK2;HGNC:11405
BRWD3;HGNC:17342
BSND;HGNC:16512
BTD;HGNC:1122
BUB1B;HGNC:1149
C12orf57;HGNC:29521
MTRFR;HGNC:26784
C1QBP;HGNC:1243
C2CD3;HGNC:24564
C8orf37;HGNC:27232
CA2;HGNC:1373
CA5A;HGNC:1377
CA8;HGNC:1382
CACNA1A;HGNC:1388
CACNA1B;HGNC:1389
CACNA1C;HGNC:1390
CACNA1D;HGNC:1391
CACNA1E;HGNC:1392
CACNA1G;HGNC:1394
CACNA1H;HGNC:1395
CACNB4;HGNC:1404
CAD;HGNC:1424
CAMK2A;HGNC:1460
CAMK2B;HGNC:1461
CAMK2G;HGNC:1463
CAMTA1;HGNC:18806
CANT1;HGNC:19721
CAPN10;HGNC:1477
CAPRIN1;HGNC:6743
CARS1;HGNC:1493
CARS2;HGNC:25695
CASK;HGNC:1497
CASP2;HGNC:1503
CAV1;HGNC:1527
CBL;HGNC:1541
CBS;HGNC:1550
CC2D1A;HGNC:30237
CC2D2A;HGNC:29253
CCBE1;HGNC:29426
CCDC103;HGNC:32700
ODAD1;HGNC:26560
CCDC115;HGNC:28178
ODAD3;HGNC:28303
CCDC22;HGNC:28909
CCDC32;HGNC:28295
CCDC39;HGNC:25244
CCDC40;HGNC:26090
CCDC47;HGNC:24856
CCDC65;HGNC:29937
CCDC78;HGNC:14153
CCDC8;HGNC:25367
CCDC88A;HGNC:25523
CCDC88C;HGNC:19967
CCNA2;HGNC:1578
CCND2;HGNC:1583
CCNK;HGNC:1596
CCNO;HGNC:18576
CCNQ;HGNC:28434
CD151;HGNC:1630
CD96;HGNC:16892
CDC40;HGNC:17350
CDC42;HGNC:1736
CDC42BPB;HGNC:1738
CDC45;HGNC:1739
CDC6;HGNC:1744
CDH1;HGNC:1748
CDH15;HGNC:1754
CDH2;HGNC:1759
CDH23;HGNC:13733
CDH3;HGNC:1762
CDK10;HGNC:1770
CDK13;HGNC:1733
CDK16;HGNC:8749
CDK19;HGNC:19338
CDK5RAP2;HGNC:18672
CDK8;HGNC:1779
CDKL5;HGNC:11411
CDKN1C;HGNC:1786
CDON;HGNC:17104
CDT1;HGNC:24576
CENPF;HGNC:1857
CENPJ;HGNC:17272
CEP104;HGNC:24866
CEP135;HGNC:29086
CEP152;HGNC:29298
CEP290;HGNC:29021
CEP41;HGNC:12370
CEP57;HGNC:30794
CEP63;HGNC:25815
CEP83;HGNC:17966
CERT1;HGNC:2205
CFAP298;HGNC:1301
CFAP300;HGNC:28188
CFAP410;HGNC:1260
CFC1;HGNC:18292
CFL2;HGNC:1875
CHAMP1;HGNC:20311
CHD1;HGNC:1915
CHD2;HGNC:1917
CHD3;HGNC:1918
